UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
University of Bozen-Bolzano,Software Engineering for Information Systems,Italy,Bozen,English,4,375,01/04/22,01/09/22,ENG-C1,https://www.unibz.it/en/faculties/computer-science/master-software-engineering-information-systems/
University of Bozen-Bolzano,Computational Data Science,Italy,Bozen,English,4,374,01/04/22,01/09/22,ENG-C1,https://www.unibz.it/en/faculties/computer-science/master-computational-data-science/
Università Cattolica del Sacro Cuore,Data Analytics for Business,Italy,Milano,English,4,,,01/09/21,,https://offertaformativa.unicatt.it/cdl-data-analytics-for-business-2020
Ca' Foscari University of Venice,Computer Science,Italy,Venice,English,4,1050,01/05/22,01/09/22,ENG-B2,https://www.studyatcafoscari.com/programmes/graduate/msc-computer-science/?_sp=8f009143-c138-4579-b345-899d40ae3aa3.1627586339334
University of Siena,Artificial Intelligence and Automation Engineering,Italy,Siena,English,4,,,01/10/21,IELTS6.5,https://www.unisi-international.com/programmes/masters-degrees/msc-artificial-intelligence-and-automation-engineering/?_sp=8f009143-c138-4579-b345-899d40ae3aa3.1627586536076
University of Verona,Data Science,Italy,Verona,English,4,500,01/07/22,01/10/22,7/10 NOT ORT,https://www.corsi.univr.it/?ent=cs&id=955&lang=en
University of Pisa,"Computer Science and Networking
",Italy,Pisa,English,4,185,01/05/22,01/09/22,ENG-B2,https://didattica.di.unipi.it/laurea-magistrale-in-informatica-e-networking/
University of Trento,Data Science,Italy,Trento,English,4,500,01/02/22,01/09/22,ENG-B2,https://international.unitn.it/maths/master-in-data-science
University of Camerino,Computer Science,Italy,Camerino,English,4,78,01/11/21,01/10/22,IELTS6 veya87,https://international.unicam.it/courses/master
University of Pisa,Computer Science,Italy,Pisa,English,4,178,01/05/22,01/09/22,ENG-B2,https://didattica.di.unipi.it/en/master-programme-in-computer-science/
University of Pisa,Computer Engineering,Italy,Pisa,English,4,178,01/05/22,01/09/22,ENG-B2,https://computer.ing.unipi.it/ce-lm
University of Salerno,Business Innovation and Informatics,Italy,Fisciano,English,4,400,01/10/21,01/09/21,,https://corsi.unisa.it/02226/en
Ca' Foscari University of Venice,Data Analytics for Business and Society,Italy,Venice,English,4,1050,01/05/22,01/09/22,ENG-B2,https://www.studyatcafoscari.com/programmes/graduate/master-in-data-analytics-for-business-and-society/?_sp=8f009143-c138-4579-b345-899d40ae3aa3.1627588026969
University of Verona,Economics and Data Analysis,Italy,Verona,English,4,500,01/10/22,01/07/22,,https://www.corsi.univr.it/?ent=cs&id=952&lang=en
University of Trieste,Data Science and Scientific Computing,Italy,Trieste,English,4,,01/05/22,01/10/22,IELTS5.5 NOTORT2,https://dssc.units.it/
